'CanonicalRoots.adicScalarQuotientEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicScalarQuotientEquiv_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicScalarQuotientEquiv_transition' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicScalarExtensionEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicScalarExtensionEquiv_of' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraQuotientMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMapLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMapLinear_val' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMap_val' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMap_id' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMap_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicBaseQuotientMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicBaseMapLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicBaseMapLinear_val' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicBaseMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicAlgebraMap_comp_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientRootAlgHom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientRootAlgHom_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.ambientRootAlgHom_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.AmbientRootCompletion' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterHom' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterHom_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterHom_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterAction' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootCharacterHom_conjugate' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.completedRootFixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCompletedFixedMap' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCompletedFixedMap_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCompletedFixedMap_bijective' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootCompletedAlgebraEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localAdicQuotientEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localAdicQuotientEquiv_transition' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.localCompletionEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.augmentationCompletionEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.rootLocalCompletedRingEquiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.adicRepresentation' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.invariantProjection' depends on axioms: [propext, Classical.choice, Quot.sound]
'CanonicalRoots.invariantProjection_comp_subtype' depends on axioms: [propext, Classical.choice, Quot.sound]
