delta,source_case,pdf_page_1_based,w1,w2,w3,h,source_display,normalization_note
1,1-C-1,9,3,4,4,12,"(3, 4, 4; 12)",
1,1-C-2,9,3,4,5,13,"(3, 4, 5; 13)",
1,1-C-3,9,3,4,8,16,"(3, 4, 8; 16)",
1,1-C-4,9,3,5,6,15,"(3, 5, 6; 15)",
1,1-C-5,9,3,5,9,18,"(3, 5, 9; 18)",
1,1-C-6,9,3,8,12,24,"(3, 8, 12; 24)",
1,1-C-7,10,6,14,21,42,"(6, 14, 21; 42)",
1,1-C-8,10,6,8,15,30,"(6, 8, 15; 30)",
1,1-C-9,10,6,8,9,24,"(6, 8, 9; 24)",
1,1-C-10,10,4,5,6,16,"(4, 5, 6; 16)",
1,1-C-11,10,4,5,10,20,"(4, 5, 10; 20)",
1,1-C-12,10,4,10,15,30,"(4, 10, 15; 30)",
1,1-C-13,10,4,6,11,22,"(4, 6, 11; 22)",
1,1-C-14,10,4,6,7,18,"(4, 6, 7; 18)",
2,2-C-4,12,3,5,5,15,"(3, 5, 5; 15)",
2,2-C-5,12,3,5,7,17,"(3, 5, 7; 17)",
2,2-C-6,12,3,5,10,20,"(3, 5, 10; 20)",
2,2-C-7,12,3,7,9,21,"(3, 7, 9; 21)",
2,2-C-8,12,3,7,12,24,"(3, 7, 12; 24)",
2,2-C-9,12,3,10,15,30,"(3, 10, 15; 30)",
3,3-C-14,15,4,5,7,19,"(4, 5, 7; 19)",
3,3-C-15,15,4,5,8,20,"(4, 5, 8; 20)",
3,3-C-16,15,4,5,12,24,"(4, 5, 12; 24)",
3,3-C-17,15,4,7,10,24,"(4, 7, 10; 24)",
3,3-C-18,15,4,7,14,28,"(4, 7, 14; 28)",
3,3-C-19,15,4,10,17,34,"(4, 10.17; 34)",period between 10 and 17 read as comma; not counted as missing
3,3-C-20,15,4,14,21,42,"(4, 14, 21; 42)",
4,4-C-6,18,3,7,7,21,"(3, 7, 7; 21)",
4,4-C-7,18,3,7,14,28,"(3, 7, 14; 28)",
4,4-C-8,18,3,7,11,25,"(3, 7, 11; 25)",
4,4-C-9,18,3,11,15,33,"(3, 11, 15; 33)",
4,4-C-10,18,3,11,18,36,"(3, 11, 18; 36)",
4,4-C-11,18,3,14,21,42,"(3, 14, 21; 42)",
4,4-C-12,19,5,6,15,30,"(5, 6, 15; 30)",
5,5-C-26,22,3,8,8,24,"(3, 8, 8; 24)",
5,5-C-27,22,3,8,13,29,"(3, 8, 13; 29)",
5,5-C-28,22,3,8,16,32,"(3, 8, 16; 32)",
5,5-C-29,23,3,13,18,39,"(3, 13, 18; 39)",
5,5-C-30,23,3,13,21,42,"(3, 13, 21; 42)",
5,5-C-31,23,3,16,24,48,"(3, 16, 24; 48)",
5,5-C-34,23,4,9,14,32,"(4, 9, 14; 32)",
5,5-C-35,23,4,9,18,36,"(4, 9, 18; 36)",
5,5-C-36,23,4,18,27,54,"(4, 18, 27; 54)",
5,5-C-37,23,4,14,23,46,"(4, 14, 23; 46)",
5,5-C-38,23,4,14,19,42,"(4, 14, 19; 42)",
5,5-C-39,23,6,7,9,27,"(6, 7, 9; 27)",
5,5-C-40,23,6,8,11,30,"(6, 8, 11; 30)",
5,5-C-41,23,6,8,13,32,"(6, 8, 13; 32)",
5,5-C-42,24,6,22,33,66,"(6, 22, 33; 66)",
5,5-C-43,24,6,16,27,54,"(6, 16, 27; 54)",
5,5-C-44,24,6,16,21,48,"(6, 16, 21; 48)",
